CAISO,ERCOT,FRCC,ISONE,MISO,NYISO,NorthernGridConnected,NorthernGridUnconnected,PJM,SCRTP,SERTP,SPP,WestConnect,WestConnectNonEnrolled,GDPSum,Event
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38451257534246575,0.0,0.0,0.0,0.0,0.38451257534246575,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8352190410958904,0.0,0.0,0.0,0.0,0.0,0.0,0.8352190410958904,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1011874520547946,1.1011874520547946,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63315498630137,0.0,1.63315498630137,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3351123287671234,0.0,0.0,2.3351123287671234,1
0.0,0.0,0.0,2.9128963835616437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9128963835616437,1
0.0,0.0,0.0,0.0,0.0,0.0,3.18075002739726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.18075002739726,1
0.0,0.0,3.196764493150685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.196764493150685,1
0.0,4.735475205479452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.735475205479452,1
0.0,0.0,0.0,0.0,0.0,5.261589452054794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.261589452054794,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.132121726027397,0.0,0.0,0.0,6.132121726027397,1
0.0,0.0,0.0,0.0,7.118826602739726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.118826602739726,1
8.322559780821917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.322559780821917,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.791090630136987,0.0,0.0,0.0,0.0,0.0,11.791090630136987,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8352190410958904,0.0,0.38451257534246575,0.0,0.0,0.0,0.0,1.2197316164383563,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38451257534246575,0.0,0.0,0.0,1.1011874520547946,1.4857000273972605,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8352190410958904,0.0,0.0,0.0,0.0,0.0,1.1011874520547946,1.936406493150685,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38451257534246575,0.0,0.0,1.63315498630137,0.0,2.0176675616438358,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8352190410958904,0.0,0.0,0.0,0.0,1.63315498630137,0.0,2.4683740273972603,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38451257534246575,0.0,2.3351123287671234,0.0,0.0,2.719624904109589,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63315498630137,1.1011874520547946,2.7343424383561645,2
