STABBR,EMP,AP,EST,POP20,REGION_ID,REGIONS,2022REALGDP,STPOP,ZCTAGDP
MA,171,9941,42,2430,22,ISONE,604357.7,7029917,208.90562591279524
MA,23,1076,3,217,19,NYISO,604357.7,7029917,18.655358363406
MA,443,23849,54,3258,19,NYISO,604357.7,7029917,280.0882836312292
MA,1108,68865,122,6324,19,NYISO,604357.7,7029917,543.6704437335462
MA,18,852,5,189,19,NYISO,604357.7,7029917,16.248215348772963
MA,4257,210749,402,8907,19,NYISO,604357.7,7029917,765.7293868334434
MA,134,7312,45,2733,22,ISONE,604357.7,7029917,234.95435210685986
MA,398,15671,48,1513,19,NYISO,604357.7,7029917,130.07169218356347
MA,1126,36190,92,2365,19,NYISO,604357.7,7029917,203.3176153431114
MA,2544,112247,241,5722,19,NYISO,604357.7,7029917,491.91686891893596
MA,2930,138799,248,4692,19,NYISO,604357.7,7029917,403.36839373779236
MA,114,4635,15,449,19,NYISO,604357.7,7029917,38.600257627508256
MA,28,1120,6,175,22,ISONE,604357.7,7029917,15.04464384145645
MA,74,3487,4,287,22,ISONE,604357.7,7029917,24.673215899988573
MA,92,3996,20,933,22,ISONE,604357.7,7029917,80.20944402330781
MA,3736,146913,326,15147,22,ISONE,604357.7,7029917,1302.1784015230903
MA,147,4447,27,808,22,ISONE,604357.7,7029917,69.46326985083891
MA,39,2085,20,946,19,NYISO,604357.7,7029917,81.32704613724458
MA,119,6636,26,959,22,ISONE,604357.7,7029917,82.44464825118133
MA,28,1110,10,645,22,ISONE,604357.7,7029917,55.45025872993948
MA,1074,59059,121,2140,19,NYISO,604357.7,7029917,183.9745018326674
MA,554,10947,36,160,19,NYISO,604357.7,7029917,13.755102940760182
MA,100,5762,26,643,22,ISONE,604357.7,7029917,55.27831994317998
MA,317,20252,12,233,19,NYISO,604357.7,7029917,20.030868657482014
MA,812,44343,81,1758,19,NYISO,604357.7,7029917,151.13419356160247
MA,139,7473,43,1208,19,NYISO,604357.7,7029917,103.85102720273937
MA,2916,219000,199,7876,19,NYISO,604357.7,7029917,677.0949422589199
MA,44,1841,15,755,22,ISONE,604357.7,7029917,64.90689200171211
MA,7877,348063,535,18042,22,ISONE,604357.7,7029917,1551.05979535747
MA,82,2944,27,1500,22,ISONE,604357.7,7029917,128.95409006962672
MA,3093,114311,221,13656,22,ISONE,604357.7,7029917,1173.9980359938816
MA,365,14464,49,2562,22,ISONE,604357.7,7029917,220.25358583892242
MA,73,2364,12,127,22,ISONE,604357.7,7029917,10.918112959228393
MA,348,12804,28,1487,22,ISONE,604357.7,7029917,127.83648795568993
MA,135,5661,20,1803,22,ISONE,604357.7,7029917,155.00281626369127
MA,106,5166,24,1539,22,ISONE,604357.7,7029917,132.306896411437
MA,845,45867,30,1538,22,ISONE,604357.7,7029917,132.22092701805724
MA,299,14225,21,1665,22,ISONE,604357.7,7029917,143.13903997728565
MA,13,471,7,352,22,ISONE,604357.7,7029917,30.2612264696724
MA,24,869,10,827,22,ISONE,604357.7,7029917,71.09668832505419
MA,106,3825,30,2293,22,ISONE,604357.7,7029917,197.12781901976933
MA,273,9070,17,1546,22,ISONE,604357.7,7029917,132.90868216509526
MA,84,2957,16,879,22,ISONE,604357.7,7029917,75.56709678080124
MA,701,38898,41,2871,22,ISONE,604357.7,7029917,246.81812839326548
MA,1019,43843,134,7665,22,ISONE,604357.7,7029917,658.9554002557924
MA,177,4496,31,1187,22,ISONE,604357.7,7029917,102.04566994176459
MA,74,7326,7,506,22,ISONE,604357.7,7029917,43.500513050154076
MA,23,809,6,1283,22,ISONE,604357.7,7029917,110.2987317062207
MA,547,20668,124,3932,22,ISONE,604357.7,7029917,338.03165476918144
MA,3020,153667,147,4526,22,ISONE,604357.7,7029917,389.0974744367536
MA,556,51373,51,3639,22,ISONE,604357.7,7029917,312.8426225089144
MA,1593,73096,98,5324,22,ISONE,604357.7,7029917,457.70105035379504
MA,2,167,5,780,22,ISONE,604357.7,7029917,67.05612683620589
MA,27,762,13,774,22,ISONE,604357.7,7029917,66.54031047592737
MA,8898,439327,729,41940,22,ISONE,604357.7,7029917,3605.5563583467624
MA,538,27873,94,6303,22,ISONE,604357.7,7029917,541.8650864725714
MA,180,9252,56,3193,22,ISONE,604357.7,7029917,274.5002730615454
MA,4053,274300,227,8221,22,ISONE,604357.7,7029917,706.7543829749341
MA,3889,296509,76,1652,22,ISONE,604357.7,7029917,142.02143786334886
MA,443,27893,25,3208,22,ISONE,604357.7,7029917,275.7898139622416
MA,184,11792,17,414,22,ISONE,604357.7,7029917,35.591328859216965
MA,6537,329460,410,21577,22,ISONE,604357.7,7029917,1854.9616009548902
MA,2150,119227,218,11298,22,ISONE,604357.7,7029917,971.2822064044284
MA,662,42008,133,5461,22,ISONE,604357.7,7029917,469.47885724682095
MA,287,14968,56,4328,22,ISONE,604357.7,7029917,372.07553454756294
MA,17786,810918,1167,43752,22,ISONE,604357.7,7029917,3761.3328991508715
MA,8053,721352,312,10141,22,ISONE,604357.7,7029917,871.8156182640563
MA,1874,106170,224,11818,22,ISONE,604357.7,7029917,1015.9862909618988
MA,1121,66246,211,11621,22,ISONE,604357.7,7029917,999.0503204660879
MA,1369,83503,130,7427,22,ISONE,604357.7,7029917,638.4946846314116
MA,255,13732,57,4309,22,ISONE,604357.7,7029917,370.4421160733476
MA,1325,53323,127,7055,22,ISONE,604357.7,7029917,606.5140702941443
MA,2112,123866,193,8213,22,ISONE,604357.7,7029917,706.066627827896
