Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises
0.018536,0.0075025,0.0378485,0.0287187,0.0197266,0.015346,0.0729523,0.043048,0.0434688,0.0740271,1.1077541,0.1148376,0.0149644,0.099304,0.1292353,0.071849,0.0678373,0.0551769,0.0345991,0.0335788,0.0352553,0.0592013,0.0374222,0.0277994,0.0272492,0.0548177,0.0073064,0.0071159,0.0081534,0.0057989,0.0091622,0.005679,0.019223,0.029122,0.0113337,0.0115013,0.0159914,0.0151576,0.0131643,0.0051904,0.0046076,0.0204048,0.0118124,0.0019291,0.0041526,0.0030388,0.0041098,0.0137035,0.0066566,0.0032496,0.0044287,0.0092086,0.0066677,0.00934,0.0352353,0.0084753,0.0051825,0.007812,0.0062306,0.0151438,0.0031399,0.0129979,0.0126027,0.0117839,0.0111969,0.0063831,0.0119085,0.0094591,0.0340217
0.0157792,0.0060808,0.0371793,0.0623497,0.0531777,0.0100001,0.0296013,0.0089755,0.0122462,0.0165742,0.0287814,1.0843182,0.0035441,0.0493983,0.0695182,0.0260969,0.0082864,0.0165833,0.0139853,0.008454,0.0059855,0.0148864,0.0285321,0.0242454,0.0138115,0.0163127,0.0042088,0.0034123,0.00452,0.0033708,0.0047402,0.0056777,0.0070282,0.006968,0.0072285,0.0060107,0.0026082,0.0207692,0.0085072,0.0019456,0.0025749,0.0048121,0.0056468,0.0009636,0.0020728,0.0023831,0.0020904,0.006349,0.0034766,0.0016377,0.0034872,0.0044662,0.0030596,0.0067435,0.0383894,0.0101637,0.0031965,0.0044175,0.003572,0.0044227,0.0021046,0.0062936,0.0032168,0.0046118,0.0113159,0.0025841,0.0039329,0.006759,0.0162413
0.0065551,0.002974,0.0062932,0.0079197,0.006733,0.0047438,0.0118302,0.0229159,0.0186504,0.0180439,0.0264681,0.0439432,1.0347527,0.052279,0.0688189,0.0729046,0.0273943,0.0419062,0.0101048,0.0282443,0.0204779,0.0173579,0.0402555,0.0070271,0.0163931,0.0229076,0.0111167,0.0075811,0.0058211,0.0066681,0.0066839,0.0043593,0.0070043,0.0084892,0.0062251,0.0043025,0.0030937,0.006567,0.0069695,0.0115401,0.0147913,0.0327557,0.0204456,0.0019695,0.0057999,0.0025998,0.0083711,0.0059795,0.0039191,0.0069581,0.0131606,0.0116342,0.0206165,0.010054,0.0125368,0.0067559,0.0120708,0.0056396,0.0046443,0.006586,0.0025285,0.0056688,0.0052843,0.0056065,0.0135788,0.0122492,0.0031986,0.005522,0.0098531
0.0189101,0.0057334,0.0042967,0.0067395,0.0114331,0.0053923,0.0297873,0.0235244,0.00479,0.015382,0.0152974,0.0537981,0.0059045,1.0523019,0.0277229,0.011511,0.01302,0.0126604,0.008724,0.0057374,0.0042981,0.0087865,0.0061131,0.0039081,0.0045416,0.0115115,0.0026759,0.0029452,0.0031791,0.0063899,0.0031214,0.0021688,0.0082709,0.00378,0.0027917,0.0046596,0.0016295,0.0039248,0.0038245,0.0010653,0.0017244,0.0112124,0.0035831,0.0008617,0.0019033,0.0013859,0.0017828,0.0059677,0.0019991,0.0013318,0.0034914,0.0049955,0.0020356,0.0044117,0.0119915,0.0046132,0.0015564,0.0027064,0.0053047,0.0045251,0.0014788,0.0063433,0.0045689,0.0035098,0.0088114,0.0062075,0.0023425,0.0029867,0.0177695
0.0079252,0.0045879,0.0083561,0.0148721,0.0089173,0.0048053,0.0075642,0.0116483,0.0109361,0.0212656,0.018155,0.0555222,0.0023578,0.0152313,1.4406313,0.0315236,0.0113682,0.008704,0.0091953,0.0084171,0.0062666,0.0159842,0.0092775,0.0069712,0.0059383,0.0095078,0.0080014,0.014377,0.0104632,0.0045336,0.0097191,0.0007647,0.0048886,0.0057297,0.0147995,0.0078986,0.002018,0.0062385,0.0336315,0.0019422,0.0028563,0.0037965,0.0038968,0.0008998,0.0018854,0.0014408,0.0017922,0.0039467,0.0049849,0.0014172,0.0014223,0.0043949,0.0040612,0.0117225,0.0202447,0.0045791,0.0024612,0.0048502,0.0030343,0.0116182,0.0033396,0.0040425,0.0034688,0.0044522,0.0219489,0.0015984,0.0149868,0.0069443,0.0068063
0.0008999,0.0016647,0.0007934,0.0013945,0.0008623,0.0008988,0.0009209,0.0012653,0.0013899,0.0021919,0.002945,0.0078152,0.0182607,0.002883,0.0091784,1.2395019,0.001283,0.001137,0.0010528,0.0012279,0.0008762,0.001546,0.0013818,0.00081,0.0009085,0.0015364,0.0007247,0.0004612,0.0004605,0.0003761,0.0005877,0.0061638,0.0241426,0.0443677,0.0021236,0.0011827,0.0004169,0.0106376,0.0006595,0.000382,0.0005714,0.0009092,0.000788,0.0001472,0.0006478,0.0002019,0.0005818,0.00052,0.0003231,0.0002867,0.0003798,0.0008577,0.0005987,0.0007566,0.0021438,0.0004065,0.0004122,0.0003898,0.0003255,0.0004752,0.0002227,0.000556,0.0003661,0.0004259,0.0011903,0.0058156,0.0008091,0.0004104,0.0013135
0.000278,0.0001033,0.0001649,0.0003498,0.0002116,0.000764,0.0087922,0.0031026,0.000292,0.0002741,0.0003411,0.0006282,0.0001155,0.0002346,0.0003838,0.0004989,0.9845129,0.0007722,0.0002536,0.0014716,0.0005526,0.000437,0.0002723,0.0002678,0.000193,0.0011232,0.0004972,0.0008716,0.0002982,0.0002222,0.0017274,0.0001866,0.0005472,0.0006695,0.0004898,0.0003434,0.0001827,0.0003658,0.0003188,0.0001321,0.000202,0.0003675,0.0009986,0.000111,0.000361,0.0001824,0.000303,0.0009069,0.0001537,0.0001925,0.0000745,0.0004056,0.0001783,0.0001882,0.000199,0.0002059,0.0004426,0.0002718,0.0002161,0.0005922,0.0005075,0.0008643,0.0002364,0.0005718,0.0003891,0.0001631,0.0117047,0.0002613,0.0016483
0.0008527,0.0005914,0.0007775,0.0012684,0.0009284,0.0006525,0.0016698,0.0010204,0.0015508,0.0015044,0.0017177,0.0067008,0.0022045,0.0052391,0.0047302,0.0010084,0.0067128,0.9999812,0.0008152,0.005817,0.0190106,0.0012989,0.0072276,0.0010445,0.0021355,0.005349,0.0009396,0.0013944,0.000997,0.0006562,0.0014825,0.0006219,0.0005949,0.0009542,0.0008325,0.0006178,0.0004935,0.0014453,0.0026133,0.0004119,0.0006814,0.0008703,0.0010745,0.0002892,0.0006332,0.0003893,0.000564,0.0009917,0.000494,0.0004373,0.0003682,0.0027239,0.0005923,0.002167,0.0047229,0.0026847,0.0142188,0.0138709,0.0052111,0.0078188,0.0004946,0.0013633,0.0006666,0.000973,0.001624,0.0016971,0.000457,0.0070581,0.0011455
0.1112471,0.0162639,0.0014829,0.0020368,0.0016669,0.0018134,0.0019278,0.0037716,0.0046399,0.0034852,0.0023078,0.0018891,0.0004197,0.0019401,0.0027702,0.0010777,0.0031278,0.0028516,1.2167543,0.0106518,0.0807329,0.0132338,0.0161518,0.0030036,0.0206066,0.0079926,0.0029539,0.0013727,0.0051771,0.002429,0.0020912,0.0115989,0.0013493,0.0111674,0.0023313,0.0013223,0.0010337,0.0027833,0.0014663,0.0011267,0.0022282,0.0015638,0.0026747,0.0008552,0.001785,0.0014111,0.0018298,0.0037066,0.001331,0.0016711,0.0011939,0.0046405,0.0018226,0.0032172,0.0056436,0.023366,0.0039435,0.0158535,0.0269626,0.0509453,0.0074631,0.0244489,0.0271345,0.0716439,0.0044085,0.0014144,0.0084454,0.0327791,0.0017258
0.0014797,0.0008928,0.0006942,0.0012067,0.0007517,0.0005862,0.0025678,0.0046242,0.004523,0.0013104,0.0012232,0.0046154,0.0002842,0.0014303,0.0084273,0.0025365,0.0405073,0.0162299,0.002228,1.0908652,0.2722441,0.0265505,0.0102276,0.0009936,0.0076226,0.01331,0.0019878,0.0007356,0.0011567,0.019702,0.0024819,0.000523,0.0007605,0.0012769,0.0007302,0.0009533,0.000262,0.0011978,0.0007377,0.0003987,0.0018886,0.0005902,0.0006219,0.0001623,0.0003823,0.0002522,0.0003443,0.000851,0.0006426,0.0002967,0.0002229,0.000779,0.0003997,0.0009318,0.0024101,0.0009501,0.0010141,0.0016575,0.0114973,0.0065977,0.0003583,0.0011016,0.0107937,0.0011921,0.0011016,0.0009994,0.0012606,0.0020272,0.0010453
