NAICS,perc0,perc15,perc30,perc45,perc60
11,0.0,0.05359528767123287,0.11255969863013698,0.16633890410958904,0.23231657534246575
21,0.0,0.057130794520547944,0.4085268219178082,0.4481861643835616,0.1488824931506849
22,0.0,0.1376258904109589,0.24791435616438354,0.38738575342465753,0.530958493150685
23,0.0,0.3467905205479452,0.7132308219178082,1.0061114246575342,1.312215506849315
31,0.0,0.9560191506849314,1.5334619726027396,2.626878109589041,3.78524597260274
42,0.0,0.4519649863013699,0.9599543013698629,1.4801538904109588,1.8589509315068493
44,0.0,0.4906632876712329,0.9675002191780822,1.4302946849315068,1.938121698630137
48,0.0,0.2802944383561644,0.5704104109589041,0.889421397260274,1.1245374520547944
51,0.0,0.43232920547945203,1.0699992876712328,1.3785281095890412,2.9496799452054794
52,0.0,0.5125821917808219,1.0573244383561644,1.772443808219178,3.0101923287671233
53,0.0,1.0850514520547945,2.389990164383562,3.6487732054794524,5.111846438356164
54,0.0,0.6421426849315068,1.5224433698630138,2.532457123287671,3.7229557808219176
55,0.0,0.17558065753424656,0.42683663013698625,0.6674613150684932,0.8764894246575343
56,0.0,0.30326136986301366,0.5954345479452055,0.932634493150685,1.2478754246575343
61,0.0,0.07809646575342466,0.18862271232876712,0.33540539726027396,0.5198842191780821
62,0.0,0.5990667397260274,1.2507821643835615,2.0761888767123287,2.878320904109589
71,0.0,0.08569041095890412,0.16356117808219175,0.2462488493150685,0.4473979178082192
72,0.0,0.2622652602739726,0.5560979178082192,0.7533442191780823,1.0558002465753424
81,0.0,0.1702286301369863,0.3359371780821918,0.5515298356164383,0.7349012328767124
UNCLFD,0.0,1.0294098630136985,1.6951898904109588,2.8815521643835615,4.191351232876713
