NAICS,perc0,perc15,perc30,perc45,perc60
11,0.0,0.0005742580107864231,0.0012060446251649878,0.0017822732620882463,0.0024892049324792753
21,0.0,0.0006121399444158082,0.0043772467748753345,0.0048021851622422765,0.0015952328660328442
22,0.0,0.0014746216224253638,0.002656330644023592,0.004150726338727128,0.005689066732083745
23,0.0,0.0037157601562113254,0.0076420620323664435,0.010780193006846104,0.014060009740200568
31,0.0,0.010243468774974587,0.01643060164925908,0.028146239405310417,0.040557816125519196
42,0.0,0.0048426741464781325,0.010285632776749067,0.01585942096214202,0.01991812173161781
44,0.0,0.005257315256379276,0.010366485104227696,0.015325193991784891,0.020766413609805773
48,0.0,0.003003273862289655,0.006111782624220241,0.009529893103189996,0.012049093648552923
51,0.0,0.004632282432486361,0.011464732986418492,0.01477053010484496,0.031604967738600054
52,0.0,0.005492169976253221,0.011328925640829868,0.01899122291837199,0.03225334043183417
53,0.0,0.011626012575586066,0.025608053566520753,0.03909554988570567,0.054771956541091654
54,0.0,0.006880373199074151,0.016312540506835973,0.02713454583809741,0.03989039473125435
55,0.0,0.0018812959778609062,0.004573431075822183,0.007151655000330476,0.009391330755918933
56,0.0,0.003249357892697246,0.006379909016517107,0.009992908930965279,0.013370624362890268
61,0.0,0.0008367810496347694,0.0020210378239875924,0.0035937718520932097,0.005570409088497213
62,0.0,0.006418826901231982,0.013401769238596163,0.022245763502033906,0.030840376246103078
71,0.0,0.0009181479767883374,0.0017525107308599827,0.0026384852196999872,0.0047937393281021175
72,0.0,0.0028100964321188526,0.005958428398443444,0.008071865485570684,0.011312594366605144
81,0.0,0.0018239505517913905,0.0035994697298402643,0.0059094827185797085,0.007874254219980434
UNCLFD,0.0,0.011029829037291786,0.018163469526354694,0.030874998265647918,0.0449091165675543
